Count,key
53.0,KS1149545_40.0625N_102.0625W.wdb.xml_31057
3.0,KS1149572_40.0625N_102.0625W.wdb.xml_31057
56.0,KS1149551_40.0625N_102.0625W.wdb.xml_31057
30.0,KS1149553_40.0625N_102.0625W.wdb.xml_31057
5.0,KS1149575_40.0625N_102.0625W.wdb.xml_31057
13.0,KS1149591_40.0625N_102.0625W.wdb.xml_31057
12.0,KS1149571_40.0625N_102.0625W.wdb.xml_31057
9.0,KS1149550_40.0625N_101.9375W.wdb.xml_31057
4.0,KS1149586_40.0625N_101.9375W.wdb.xml_31057
32.0,KS1149551_39.9375N_102.0625W.wdb.xml_31057
24.0,KS1149571_39.9375N_102.0625W.wdb.xml_31057
12.0,KS1149591_39.9375N_102.0625W.wdb.xml_31057
5.0,KS1149545_39.9375N_102.0625W.wdb.xml_31057
2.0,KS1149581_39.9375N_102.0625W.wdb.xml_31057
1.0,KS1149569_39.9375N_102.0625W.wdb.xml_31057
95.0,KS1149545_39.9375N_102.0625W.wdb.xml_20023
67.0,KS1149551_39.9375N_102.0625W.wdb.xml_20023
86.0,KS1149571_39.9375N_102.0625W.wdb.xml_20023
17.0,KS1149581_39.9375N_102.0625W.wdb.xml_20023
67.0,KS1149569_39.9375N_102.0625W.wdb.xml_20023
245.0,KS1149560_39.9375N_102.0625W.wdb.xml_20023
138.0,KS1149558_39.9375N_102.0625W.wdb.xml_20023
16.0,KS1149564_39.9375N_102.0625W.wdb.xml_20023
4.0,KS1149561_40.0625N_101.9375W.wdb.xml_31057
547.0,KS1149591_39.9375N_102.0625W.wdb.xml_20023
542.0,KS2733383_39.9375N_101.9375W.wdb.xml_20023
2.0,KS1149583_40.0625N_101.8125W.wdb.xml_31057
2646.0,KS1149560_39.9375N_101.9375W.wdb.xml_20023
63.0,KS1149586_39.9375N_101.9375W.wdb.xml_20023
4.0,KS1149545_39.9375N_101.9375W.wdb.xml_20023
1.0,KS1149573_39.9375N_102.0625W.wdb.xml_20023
14.0,KS1149569_39.9375N_101.9375W.wdb.xml_20023
21.0,KS1149575_39.9375N_101.9375W.wdb.xml_20023
5.0,KS1149546_40.0625N_101.6875W.wdb.xml_20023
79.0,KS1149591_39.9375N_101.9375W.wdb.xml_20023
2.0,KS1149583_40.0625N_101.6875W.wdb.xml_20023
3.0,KS1149546_39.9375N_101.9375W.wdb.xml_20023
48.0,KS1149546_39.9375N_101.6875W.wdb.xml_20023
187.0,KS2733383_40.0625N_101.6875W.wdb.xml_31057
3.0,KS1149583_40.0625N_101.6875W.wdb.xml_31057
35.0,KS1149546_39.9375N_102.0625W.wdb.xml_20023
23.0,KS1149553_39.9375N_102.0625W.wdb.xml_20023
5.0,KS1149565_40.0625N_101.6875W.wdb.xml_31057
4.0,KS1149586_40.0625N_101.6875W.wdb.xml_31057
31.0,KS1149561_39.9375N_102.0625W.wdb.xml_20023
164.0,KS1149547_39.9375N_101.9375W.wdb.xml_20023
44.0,KS2733383_40.0625N_101.6875W.wdb.xml_20023
16.0,KS1149586_40.0625N_101.6875W.wdb.xml_20023
75.0,KS1149584_40.0625N_101.6875W.wdb.xml_31057
6.0,KS1149565_40.0625N_101.6875W.wdb.xml_20023
17.0,KS1149560_40.0625N_101.6875W.wdb.xml_20023
23.0,KS1149583_39.9375N_101.9375W.wdb.xml_20023
393.0,KS2733383_40.0625N_101.5625W.wdb.xml_31057
224.0,KS1149578_40.0625N_101.5625W.wdb.xml_31057
337.0,KS1149577_40.0625N_101.5625W.wdb.xml_31057
10.0,KS1149583_39.9375N_101.6875W.wdb.xml_20023
1192.0,KS2733383_39.9375N_101.6875W.wdb.xml_20023
92.0,KS1149554_40.0625N_101.5625W.wdb.xml_31057
1630.0,KS1149560_39.9375N_101.6875W.wdb.xml_20023
4636.0,KS1149565_39.9375N_101.6875W.wdb.xml_20023
24.0,KS1149586_39.9375N_101.6875W.wdb.xml_20023
72.0,KS1149584_40.0625N_101.5625W.wdb.xml_31057
35.0,KS1149564_40.0625N_101.5625W.wdb.xml_31057
82.0,KS1149582_40.0625N_101.5625W.wdb.xml_31057
10.0,KS1149560_40.0625N_101.6875W.wdb.xml_31057
55.0,KS1149560_40.0625N_101.5625W.wdb.xml_31057
53.0,KS1149586_40.0625N_101.5625W.wdb.xml_31057
51.0,KS1149583_39.9375N_101.8125W.wdb.xml_20023
77.0,KS2733383_39.9375N_101.6875W.wdb.xml_31057
48.0,KS1149560_39.9375N_101.6875W.wdb.xml_31057
4.0,KS1149573_40.0625N_101.5625W.wdb.xml_31057
24.0,KS1149585_40.0625N_101.5625W.wdb.xml_31057
12.0,KS1149583_40.0625N_101.5625W.wdb.xml_31057
20.0,KS1149565_39.9375N_101.6875W.wdb.xml_31057
12.0,KS1149560_39.9375N_101.5625W.wdb.xml_31057
46.0,KS2733383_39.9375N_101.5625W.wdb.xml_31057
3.0,KS1149563_39.9375N_101.9375W.wdb.xml_20023
23.0,KS1149554_39.9375N_101.5625W.wdb.xml_31057
6156.0,KS1149565_39.9375N_101.9375W.wdb.xml_20023
317.0,KS2668828_39.9375N_101.6875W.wdb.xml_20023
18.0,KS1149565_39.9375N_101.5625W.wdb.xml_31057
63.0,KS1149578_39.9375N_101.5625W.wdb.xml_31057
72.0,KS1149577_39.9375N_101.5625W.wdb.xml_31057
1.0,KS1149545_40.0625N_101.5625W.wdb.xml_31057
2.0,KS1149553_40.0625N_101.5625W.wdb.xml_31057
7.0,KS1149552_40.0625N_101.5625W.wdb.xml_31057
2.0,KS1149572_40.0625N_101.5625W.wdb.xml_31057
4832.0,KS1149560_39.9375N_101.5625W.wdb.xml_20023
621.0,KS2733383_39.9375N_101.5625W.wdb.xml_20023
7461.0,KS1149565_39.9375N_101.5625W.wdb.xml_20023
68.0,KS1149554_39.9375N_101.5625W.wdb.xml_20023
465.0,KS1149578_39.9375N_101.5625W.wdb.xml_20023
329.0,KS1149577_39.9375N_101.5625W.wdb.xml_20023
358.0,KS1149564_39.9375N_101.5625W.wdb.xml_20023
1809.0,KS1149573_39.9375N_101.5625W.wdb.xml_20023
602.0,KS1149582_39.9375N_101.5625W.wdb.xml_20023
15.0,KS1149560_40.0625N_101.5625W.wdb.xml_20023
34.0,KS2733383_40.0625N_101.5625W.wdb.xml_20023
14.0,KS1149586_40.0625N_101.5625W.wdb.xml_20023
44.0,KS1149584_40.0625N_101.5625W.wdb.xml_20023
12.0,KS1149585_40.0625N_101.5625W.wdb.xml_20023
4.0,KS1149583_40.0625N_101.5625W.wdb.xml_20023
1.0,KS1149552_40.0625N_101.5625W.wdb.xml_20023
15.0,KS1149578_40.0625N_101.5625W.wdb.xml_20023
1.0,KS1149593_40.0625N_101.5625W.wdb.xml_20023
31.0,KS1149553_40.0625N_101.5625W.wdb.xml_20023
149.0,KS1149586_39.9375N_101.5625W.wdb.xml_20023
3.0,KS1149559_39.9375N_101.9375W.wdb.xml_20023
54.0,KS1149574_39.9375N_101.5625W.wdb.xml_20023
64.0,KS1149584_39.9375N_101.5625W.wdb.xml_20023
3.0,KS1149585_39.9375N_101.5625W.wdb.xml_20023
42.0,KS1149583_39.9375N_101.5625W.wdb.xml_20023
1.0,KS1149576_40.0625N_101.5625W.wdb.xml_31057
22.0,KS1149591_40.0625N_101.5625W.wdb.xml_20023
940.0,KS1149553_39.9375N_101.5625W.wdb.xml_20023
1.0,KS1149550_40.0625N_101.5625W.wdb.xml_20023
136.0,KS1149580_40.0625N_101.4375W.wdb.xml_31057
136.0,KS1149577_40.0625N_101.4375W.wdb.xml_31057
217.0,KS1149545_39.9375N_101.5625W.wdb.xml_20023
7108.0,KS2668638_39.9375N_101.5625W.wdb.xml_20023
6401.0,KS2668638_39.9375N_101.9375W.wdb.xml_20023
3750.0,KS2668638_39.9375N_101.8125W.wdb.xml_20023
727.0,KS1149561_39.9375N_101.6875W.wdb.xml_20023
3226.0,KS1149591_39.9375N_101.5625W.wdb.xml_20023
1.0,KS1149571_40.0625N_101.5625W.wdb.xml_20023
47.0,KS1149555_40.0625N_101.4375W.wdb.xml_31057
1166.0,KS1149581_39.9375N_101.5625W.wdb.xml_20023
31.0,KS1149560_40.0625N_101.4375W.wdb.xml_31057
2.0,KS1149593_39.9375N_101.5625W.wdb.xml_20023
2773.0,KS1149571_39.9375N_101.5625W.wdb.xml_20023
8.0,KS1149561_40.0625N_101.5625W.wdb.xml_31057
2.0,KS1149558_40.0625N_101.4375W.wdb.xml_31057
1.0,KS1149572_39.9375N_101.5625W.wdb.xml_20023
7.0,KS1149571_39.9375N_101.5625W.wdb.xml_31057
1.0,KS1149556_40.0625N_101.4375W.wdb.xml_31057
2944.0,KS1149561_39.9375N_101.5625W.wdb.xml_20023
455.0,KS1149577_39.9375N_101.4375W.wdb.xml_20023
263.0,KS1149580_39.9375N_101.4375W.wdb.xml_20023
1698.0,KS1149560_39.9375N_101.4375W.wdb.xml_20023
