Count,key
1.0,NE2668858_43.0625N_104.0625W.wdb.xml_31165
4.0,NE357908_43.0625N_104.0625W.wdb.xml_31165
9.0,NE357908_42.9375N_104.0625W.wdb.xml_31165
2.0,NE357908_43.0625N_103.9375W.wdb.xml_31165
3.0,NE357908_42.9375N_103.9375W.wdb.xml_31165
1.0,NE357935_42.9375N_104.0625W.wdb.xml_31165
7.0,NE357935_42.9375N_103.9375W.wdb.xml_31165
1.0,NE357883_42.9375N_103.9375W.wdb.xml_31165
1.0,NE357882_42.9375N_103.9375W.wdb.xml_31165
35.0,NE357896_42.9375N_103.8125W.wdb.xml_31165
1.0,NE357935_43.0625N_103.8125W.wdb.xml_31165
1.0,NE357910_42.9375N_104.0625W.wdb.xml_31165
40.0,NE357930_42.9375N_103.8125W.wdb.xml_31165
5.0,NE630080_42.9375N_103.8125W.wdb.xml_31165
26.0,NE2668858_42.9375N_103.8125W.wdb.xml_31165
88.0,NE357883_42.9375N_103.8125W.wdb.xml_31165
29.0,NE357941_42.9375N_103.8125W.wdb.xml_31165
8.0,NE357882_42.9375N_103.8125W.wdb.xml_31165
119.0,NE357994_42.9375N_103.8125W.wdb.xml_31165
2.0,NE357935_42.9375N_103.6875W.wdb.xml_31165
11.0,NE2759234_42.9375N_103.8125W.wdb.xml_31165
5.0,NE357935_42.9375N_103.8125W.wdb.xml_31165
2.0,NE357979_42.9375N_103.6875W.wdb.xml_31165
45.0,NE357929_42.9375N_103.8125W.wdb.xml_31165
4.0,NE2668858_42.9375N_103.6875W.wdb.xml_31165
2.0,NE357941_42.9375N_103.6875W.wdb.xml_31165
10.0,NE630080_42.9375N_103.6875W.wdb.xml_31165
4.0,NE357977_42.9375N_103.8125W.wdb.xml_31165
65.0,NE357993_42.9375N_103.8125W.wdb.xml_31165
32.0,NE357897_42.9375N_103.6875W.wdb.xml_31165
1.0,NE358150_43.0625N_103.4375W.wdb.xml_46047
5.0,NE358033_42.9375N_103.6875W.wdb.xml_31165
68.0,NE357898_42.9375N_103.6875W.wdb.xml_31165
37.0,NE358122_42.9375N_103.4375W.wdb.xml_31045
9.0,NE357939_42.9375N_103.8125W.wdb.xml_31165
6.0,NE357883_42.9375N_103.6875W.wdb.xml_31165
11.0,NE357939_42.9375N_103.6875W.wdb.xml_31165
32.0,NE358150_42.9375N_103.3125W.wdb.xml_31045
21.0,NE358150_42.9375N_103.4375W.wdb.xml_31045
5.0,NE2759234_42.9375N_103.6875W.wdb.xml_31165
7.0,NE358122_42.9375N_103.3125W.wdb.xml_31045
14.0,NE630080_42.9375N_103.5625W.wdb.xml_31165
8.0,NE625693_42.9375N_103.3125W.wdb.xml_31045
1.0,NE358150_42.9375N_103.1875W.wdb.xml_46047
143.0,NE358150_42.9375N_103.1875W.wdb.xml_31045
247.0,NE358122_42.9375N_103.1875W.wdb.xml_31045
24.0,NE358149_42.9375N_103.1875W.wdb.xml_31045
20.0,NE358097_42.9375N_103.1875W.wdb.xml_31045
6.0,NE357896_42.9375N_103.6875W.wdb.xml_31165
5.0,NE625500_42.9375N_103.1875W.wdb.xml_31045
17.0,NE357917_42.9375N_103.6875W.wdb.xml_31165
6.0,NE357897_42.9375N_103.9375W.wdb.xml_31165
2.0,NE358151_42.9375N_103.1875W.wdb.xml_31045
2.0,NE357994_42.9375N_103.5625W.wdb.xml_31165
19.0,NE357908_42.9375N_103.6875W.wdb.xml_31165
15.0,NE625693_42.9375N_103.1875W.wdb.xml_31045
34.0,NE358106_42.9375N_102.8125W.wdb.xml_46102
10.0,NE357898_42.9375N_103.8125W.wdb.xml_31165
4.0,NE357881_42.9375N_103.6875W.wdb.xml_31165
5.0,NE358107_42.9375N_102.8125W.wdb.xml_46102
26.0,NE358106_42.9375N_102.8125W.wdb.xml_31045
1.0,NE358102_42.9375N_102.8125W.wdb.xml_46102
2.0,NE357896_42.9375N_103.9375W.wdb.xml_31165
1.0,NE2668859_42.9375N_103.1875W.wdb.xml_31045
19.0,NE358102_42.9375N_102.8125W.wdb.xml_31045
7.0,NE358123_42.9375N_102.9375W.wdb.xml_31045
125.0,NE358107_42.9375N_102.8125W.wdb.xml_31045
4.0,NE100587_42.9375N_102.8125W.wdb.xml_46102
4.0,NE357929_42.9375N_103.6875W.wdb.xml_31165
2.0,NE100588_42.9375N_102.8125W.wdb.xml_46102
1.0,NE358147_42.9375N_102.8125W.wdb.xml_46102
3.0,NE100613_42.9375N_102.8125W.wdb.xml_46102
9.0,NE100588_42.9375N_102.6875W.wdb.xml_46102
4.0,NE358097_42.9375N_103.3125W.wdb.xml_31045
3.0,NE358147_42.9375N_102.9375W.wdb.xml_31045
47.0,NE100588_42.9375N_102.8125W.wdb.xml_31161
3.0,NE357994_42.9375N_103.6875W.wdb.xml_31165
3.0,NE100613_42.9375N_102.6875W.wdb.xml_46102
1.0,NE100568_42.9375N_102.6875W.wdb.xml_46102
