Count,key
5.0,ND341317_48.9375N_104.0625W.wdb.xml_38023
18.0,ND341304_48.9375N_104.0625W.wdb.xml_38023
43.0,ND341327_48.9375N_104.0625W.wdb.xml_38023
9.0,ND341326_48.9375N_104.0625W.wdb.xml_38023
4.0,ND341400_48.9375N_104.0625W.wdb.xml_38023
13.0,ND341303_48.9375N_104.0625W.wdb.xml_38023
10.0,ND341295_48.9375N_104.0625W.wdb.xml_38023
20.0,ND2595775_48.9375N_103.9375W.wdb.xml_38023
76.0,ND2564260_48.9375N_103.9375W.wdb.xml_38023
57.0,ND2596914_48.9375N_103.9375W.wdb.xml_38023
167.0,ND2564242_48.9375N_103.9375W.wdb.xml_38023
10.0,ND341288_48.9375N_103.9375W.wdb.xml_38023
151.0,ND2564282_48.9375N_103.9375W.wdb.xml_38023
48.0,ND2564281_48.9375N_103.9375W.wdb.xml_38023
266.0,ND2595774_48.9375N_103.9375W.wdb.xml_38023
1.0,ND2596913_48.9375N_103.9375W.wdb.xml_38023
5.0,ND2596827_48.9375N_103.9375W.wdb.xml_38023
30.0,ND2564241_48.9375N_103.8125W.wdb.xml_38023
72.0,ND2596914_48.9375N_103.8125W.wdb.xml_38023
105.0,ND2564242_48.9375N_103.8125W.wdb.xml_38023
98.0,ND2564282_48.9375N_103.8125W.wdb.xml_38023
2.0,ND2564246_48.9375N_103.8125W.wdb.xml_38023
44.0,ND2564260_48.9375N_103.8125W.wdb.xml_38023
6.0,ND2564264_48.9375N_103.9375W.wdb.xml_38023
26.0,ND2564241_48.9375N_103.9375W.wdb.xml_38023
13.0,ND2564243_48.9375N_103.8125W.wdb.xml_38023
166.0,ND2564242_48.9375N_103.6875W.wdb.xml_38023
11.0,ND2564245_48.9375N_103.9375W.wdb.xml_38023
95.0,ND2564241_48.9375N_103.6875W.wdb.xml_38023
49.0,ND2564260_48.9375N_103.6875W.wdb.xml_38023
70.0,ND2596914_48.9375N_103.6875W.wdb.xml_38023
27.0,ND2564281_48.9375N_103.6875W.wdb.xml_38023
167.0,ND2564282_48.9375N_103.6875W.wdb.xml_38023
984.0,ND341303_48.9375N_103.6875W.wdb.xml_38023
54.0,ND341301_48.9375N_103.6875W.wdb.xml_38023
106.0,ND341285_48.9375N_103.6875W.wdb.xml_38023
714.0,ND341336_48.9375N_103.6875W.wdb.xml_38023
756.0,ND341303_48.9375N_103.5625W.wdb.xml_38023
295.0,ND341301_48.9375N_103.5625W.wdb.xml_38023
642.0,ND341336_48.9375N_103.5625W.wdb.xml_38023
1.0,ND2564251_48.9375N_103.9375W.wdb.xml_38023
122.0,ND2564243_48.9375N_103.9375W.wdb.xml_38023
2.0,ND2567242_48.9375N_103.9375W.wdb.xml_38023
664.0,ND341302_48.9375N_103.5625W.wdb.xml_38023
189.0,ND341316_48.9375N_103.6875W.wdb.xml_38023
5.0,ND2564245_48.9375N_103.6875W.wdb.xml_38023
10.0,ND341293_48.9375N_103.5625W.wdb.xml_38023
9.0,ND2595775_48.9375N_103.8125W.wdb.xml_38023
6.0,ND2564244_48.9375N_103.6875W.wdb.xml_38023
8.0,ND2564264_48.9375N_103.8125W.wdb.xml_38023
54.0,ND341292_48.9375N_103.5625W.wdb.xml_38023
