Count,key
3.0,MI416035_47.1875N_88.5625W.wdb.xml_26061
3.0,MI416045_47.1875N_88.6875W.wdb.xml_26061
1.0,MI416119_47.1875N_88.4375W.wdb.xml_26061
3.0,MI416041_47.1875N_88.6875W.wdb.xml_26061
2.0,MI416109_47.1875N_88.4375W.wdb.xml_26061
1.0,MI416034_47.1875N_88.6875W.wdb.xml_26061
8.0,MI416182_47.1875N_88.6875W.wdb.xml_26061
1.0,MI416177_47.1875N_88.6875W.wdb.xml_26061
1.0,MI416050_47.1875N_88.5625W.wdb.xml_26061
5.0,MI416148_47.1875N_88.5625W.wdb.xml_26061
1.0,MI416104_47.1875N_88.4375W.wdb.xml_26061
1.0,MI416086_47.1875N_88.4375W.wdb.xml_26061
4.0,MI416061_47.1875N_88.6875W.wdb.xml_26061
1.0,MI416152_47.1875N_88.4375W.wdb.xml_26061
2.0,MI416160_47.1875N_88.6875W.wdb.xml_26061
1.0,MI416100_47.1875N_88.4375W.wdb.xml_26061
22.0,MI416084_47.1875N_88.5625W.wdb.xml_26061
1.0,MI416081_47.1875N_88.6875W.wdb.xml_26061
1.0,MI416078_47.1875N_88.6875W.wdb.xml_26061
4.0,MI416114_47.0625N_88.3125W.wdb.xml_26061
11.0,MI416100_47.1875N_88.6875W.wdb.xml_26061
4.0,MI416107_47.0625N_88.4375W.wdb.xml_26061
2.0,MI416163_47.0625N_88.4375W.wdb.xml_26061
25.0,MI416103_47.0625N_88.4375W.wdb.xml_26061
10.0,MI416104_47.0625N_88.4375W.wdb.xml_26061
33.0,MI416107_47.0625N_88.6875W.wdb.xml_26061
2.0,MI416100_47.0625N_88.4375W.wdb.xml_26061
1.0,MI416178_47.0625N_88.5625W.wdb.xml_26061
6.0,MI416075_47.0625N_88.5625W.wdb.xml_26061
2.0,MI416038_47.0625N_88.5625W.wdb.xml_26061
1.0,MI416125_47.0625N_88.6875W.wdb.xml_26061
4.0,MI416119_47.0625N_88.6875W.wdb.xml_26061
7.0,MI416043_47.0625N_88.5625W.wdb.xml_26061
1.0,MI416182_47.0625N_88.4375W.wdb.xml_26061
3.0,MI416131_47.0625N_88.5625W.wdb.xml_26061
7.0,MI416114_47.0625N_88.5625W.wdb.xml_26061
45.0,MI416178_47.0625N_88.6875W.wdb.xml_26061
8.0,MI416041_47.0625N_88.5625W.wdb.xml_26061
3.0,MI416078_47.0625N_88.6875W.wdb.xml_26061
3.0,MI416160_47.0625N_88.5625W.wdb.xml_26061
5.0,MI416078_47.0625N_88.5625W.wdb.xml_26061
1.0,MI416088_47.0625N_88.5625W.wdb.xml_26061
4.0,MI416036_47.0625N_88.6875W.wdb.xml_26061
15.0,MI416115_47.0625N_88.6875W.wdb.xml_26061
2.0,MI416152_47.0625N_88.4375W.wdb.xml_26061
2.0,MI416163_47.0625N_88.5625W.wdb.xml_26061
1.0,MI416068_47.0625N_88.5625W.wdb.xml_26061
1.0,MI416045_47.0625N_88.6875W.wdb.xml_26061
36.0,MI416182_47.0625N_88.5625W.wdb.xml_26061
3.0,MI416036_47.0625N_88.5625W.wdb.xml_26061
1.0,MI416137_47.0625N_88.5625W.wdb.xml_26061
3.0,MI416056_47.0625N_88.5625W.wdb.xml_26061
3.0,MI416050_47.0625N_88.5625W.wdb.xml_26061
27.0,MI416119_47.0625N_88.5625W.wdb.xml_26061
3.0,MI416116_47.0625N_88.4375W.wdb.xml_26061
1.0,MI416170_47.0625N_88.5625W.wdb.xml_26061
9.0,MI416121_47.0625N_88.4375W.wdb.xml_26061
5.0,MI416112_47.0625N_88.5625W.wdb.xml_26061
1.0,MI416174_47.0625N_88.5625W.wdb.xml_26061
1.0,MI416057_47.0625N_88.5625W.wdb.xml_26061
2.0,MI416163_47.0625N_88.6875W.wdb.xml_26061
1.0,MI416083_47.0625N_88.6875W.wdb.xml_26061
1.0,MI416131_47.0625N_88.3125W.wdb.xml_26061
97.0,MI416045_47.0625N_88.5625W.wdb.xml_26061
2.0,MI416112_47.0625N_88.6875W.wdb.xml_26061
