Count,key
63.0,SD355803_45.9375N_104.0625W.wdb.xml_38011
22.0,SD355772_45.9375N_104.0625W.wdb.xml_38011
374.0,SD355772_45.9375N_104.0625W.wdb.xml_46063
77.0,SD355803_45.9375N_104.0625W.wdb.xml_46063
57.0,SD355804_45.9375N_104.0625W.wdb.xml_46063
122.0,SD355781_45.9375N_104.0625W.wdb.xml_46063
14.0,SD355747_45.9375N_103.9375W.wdb.xml_38011
17.0,SD355801_45.9375N_104.0625W.wdb.xml_46063
710.0,SD355730_45.9375N_104.0625W.wdb.xml_46063
32.0,SD355729_45.9375N_104.0625W.wdb.xml_46063
2.0,SD355742_45.9375N_103.9375W.wdb.xml_38011
748.0,SD355752_45.9375N_104.0625W.wdb.xml_46063
6.0,SD355747_45.9375N_103.9375W.wdb.xml_46063
17.0,SD355730_45.9375N_103.9375W.wdb.xml_46063
155.0,SD355742_45.9375N_104.0625W.wdb.xml_46063
424.0,SD355731_45.9375N_104.0625W.wdb.xml_46063
2.0,SD355804_45.9375N_103.9375W.wdb.xml_46063
68.0,SD355747_45.9375N_104.0625W.wdb.xml_46063
35.0,SD355723_45.9375N_104.0625W.wdb.xml_46063
231.0,SD355716_45.9375N_104.0625W.wdb.xml_46063
2.0,SD355819_45.9375N_103.9375W.wdb.xml_46063
19.0,SD355740_45.9375N_104.0625W.wdb.xml_46063
1.0,SD2920824_45.9375N_103.6875W.wdb.xml_46063
8.0,SD355725_45.9375N_103.6875W.wdb.xml_46063
16.0,SD355805_45.9375N_103.9375W.wdb.xml_46063
12.0,SD355803_45.9375N_103.9375W.wdb.xml_46063
213.0,SD355709_45.9375N_103.5625W.wdb.xml_46063
2.0,SD355777_45.9375N_103.5625W.wdb.xml_38011
184.0,SD355777_45.9375N_103.5625W.wdb.xml_46063
79.0,SD355776_45.9375N_103.5625W.wdb.xml_46063
26.0,SD355791_45.9375N_103.5625W.wdb.xml_46063
14.0,SD355772_45.9375N_103.5625W.wdb.xml_46063
3.0,SD355712_45.9375N_104.0625W.wdb.xml_46063
13.0,SD355755_45.9375N_103.5625W.wdb.xml_46063
52.0,SD2739017_45.9375N_103.5625W.wdb.xml_46063
21.0,SD355753_45.9375N_103.5625W.wdb.xml_46063
63.0,SD2876637_45.9375N_103.5625W.wdb.xml_46063
41.0,SD355709_45.9375N_103.6875W.wdb.xml_46063
9.0,SD2942849_45.9375N_103.5625W.wdb.xml_46063
71.0,SD355753_45.9375N_103.4375W.wdb.xml_46063
67.0,SD355809_45.9375N_103.4375W.wdb.xml_46063
15.0,SD355745_45.9375N_103.4375W.wdb.xml_46063
267.0,SD355709_45.9375N_103.4375W.wdb.xml_46063
21.0,SD355710_45.9375N_103.4375W.wdb.xml_46063
40.0,SD355725_45.9375N_103.5625W.wdb.xml_46063
116.0,SD2876637_45.9375N_103.4375W.wdb.xml_46063
25.0,SD355723_45.9375N_103.5625W.wdb.xml_46063
21.0,SD2876637_45.9375N_103.4375W.wdb.xml_38011
18.0,SD355776_45.9375N_103.4375W.wdb.xml_38011
17.0,SD2739017_45.9375N_103.6875W.wdb.xml_46063
7.0,SD355777_45.9375N_103.4375W.wdb.xml_38011
36.0,SD355709_45.9375N_103.4375W.wdb.xml_38011
3.0,SD355768_45.9375N_103.4375W.wdb.xml_38011
26.0,SD2920824_45.9375N_103.4375W.wdb.xml_38011
210.0,SD355777_45.9375N_103.4375W.wdb.xml_46063
12.0,SD2876635_45.9375N_103.4375W.wdb.xml_38011
8.0,SD355772_45.9375N_103.4375W.wdb.xml_38011
2.0,SD355805_45.9375N_104.0625W.wdb.xml_46063
2.0,SD355780_45.9375N_103.8125W.wdb.xml_46063
5.0,SD355809_45.9375N_103.4375W.wdb.xml_38011
4.0,SD355711_45.9375N_103.4375W.wdb.xml_38011
1.0,SD355755_45.9375N_103.4375W.wdb.xml_46063
1.0,SD355753_45.9375N_103.4375W.wdb.xml_38011
16.0,SD355711_45.9375N_103.4375W.wdb.xml_46063
32.0,SD355772_45.9375N_103.4375W.wdb.xml_46063
27.0,SD2920824_45.9375N_103.4375W.wdb.xml_46063
6.0,SD355790_45.9375N_103.4375W.wdb.xml_46063
11.0,SD2837872_45.9375N_103.4375W.wdb.xml_46063
6.0,SD355744_45.9375N_103.4375W.wdb.xml_46063
45.0,SD2920822_45.9375N_103.4375W.wdb.xml_46063
1.0,SD1013843_45.9375N_103.3125W.wdb.xml_38011
80.0,SD355725_45.9375N_103.4375W.wdb.xml_46063
11.0,SD355787_45.9375N_103.4375W.wdb.xml_46063
11.0,SD355780_45.9375N_103.3125W.wdb.xml_38011
5.0,SD2837872_45.9375N_103.5625W.wdb.xml_46063
1.0,SD355758_45.9375N_103.3125W.wdb.xml_38011
7.0,SD2876637_45.9375N_103.6875W.wdb.xml_46063
1.0,SD2920822_45.9375N_103.3125W.wdb.xml_38011
11.0,SD355780_45.9375N_103.3125W.wdb.xml_46063
1.0,SD2739017_45.9375N_103.4375W.wdb.xml_46063
26.0,SD355758_45.9375N_103.3125W.wdb.xml_46063
10.0,SD355777_45.9375N_103.3125W.wdb.xml_38011
510.0,SD355773_45.9375N_103.3125W.wdb.xml_46063
3.0,SD355709_45.9375N_103.3125W.wdb.xml_38011
26.0,SD2920822_45.9375N_103.3125W.wdb.xml_46063
6.0,SD355745_45.9375N_103.3125W.wdb.xml_38011
42.0,SD355725_45.9375N_103.1875W.wdb.xml_38011
1.0,SD355744_45.9375N_103.3125W.wdb.xml_46063
17.0,SD355739_45.9375N_103.3125W.wdb.xml_38011
13.0,SD355809_45.9375N_103.3125W.wdb.xml_46063
170.0,SD355709_45.9375N_103.1875W.wdb.xml_38011
17.0,SD2739017_45.9375N_103.1875W.wdb.xml_38011
6.0,SD355819_45.9375N_103.8125W.wdb.xml_46063
12.0,SD355791_45.9375N_103.1875W.wdb.xml_38011
184.0,SD2876635_45.9375N_103.1875W.wdb.xml_38011
46.0,SD355773_45.9375N_103.1875W.wdb.xml_38011
2.0,SD355710_45.9375N_103.3125W.wdb.xml_46063
7861.0,SD355709_45.9375N_103.1875W.wdb.xml_46063
2538.0,SD355725_45.9375N_103.1875W.wdb.xml_46063
56.0,SD355791_45.9375N_103.1875W.wdb.xml_46063
747.0,SD2876635_45.9375N_103.1875W.wdb.xml_46063
16.0,SD355757_45.9375N_103.1875W.wdb.xml_38011
1414.0,SD355709_45.9375N_103.3125W.wdb.xml_46063
40.0,SD355775_45.9375N_103.1875W.wdb.xml_38011
275.0,SD2876637_45.9375N_103.3125W.wdb.xml_46063
275.0,SD355739_45.9375N_103.3125W.wdb.xml_46063
262.0,SD355757_45.9375N_103.1875W.wdb.xml_46063
81.0,SD355776_45.9375N_103.6875W.wdb.xml_46063
242.0,SD355717_45.9375N_103.1875W.wdb.xml_46063
92.0,SD2876635_45.9375N_103.6875W.wdb.xml_46063
69.0,SD355777_45.9375N_103.6875W.wdb.xml_46063
2000.0,SD2739017_45.9375N_103.1875W.wdb.xml_46063
350.0,SD355710_45.9375N_103.1875W.wdb.xml_46063
32.0,SD355717_45.9375N_103.1875W.wdb.xml_38011
115.0,SD355725_45.9375N_103.3125W.wdb.xml_46063
119.0,SD355772_45.9375N_103.1875W.wdb.xml_46063
13.0,SD355775_45.9375N_103.3125W.wdb.xml_46063
32.0,SD355776_45.9375N_103.1875W.wdb.xml_38011
5.0,SD355768_45.9375N_103.6875W.wdb.xml_46063
6.0,SD355739_45.9375N_103.1875W.wdb.xml_38011
6.0,SD355780_45.9375N_103.1875W.wdb.xml_38011
27.0,SD2920822_45.9375N_103.6875W.wdb.xml_46063
200.0,SD355780_45.9375N_103.1875W.wdb.xml_46063
4.0,SD355797_45.9375N_103.6875W.wdb.xml_46063
2.0,SD355787_45.9375N_103.5625W.wdb.xml_46063
5.0,SD355790_45.9375N_103.1875W.wdb.xml_38011
771.0,SD355776_45.9375N_103.1875W.wdb.xml_46063
5.0,SD355772_45.9375N_103.1875W.wdb.xml_38011
12.0,SD355775_45.9375N_103.6875W.wdb.xml_46063
380.0,SD355772_45.9375N_103.3125W.wdb.xml_46063
1212.0,SD355790_45.9375N_103.1875W.wdb.xml_46063
136.0,SD355739_45.9375N_103.1875W.wdb.xml_46063
45.0,SD2876635_45.9375N_103.0625W.wdb.xml_38011
43.0,SD355790_45.9375N_103.0625W.wdb.xml_38011
157.0,SD355725_45.9375N_103.0625W.wdb.xml_38011
11.0,SD2739017_45.9375N_103.0625W.wdb.xml_38011
11.0,SD355772_45.9375N_103.9375W.wdb.xml_46063
130.0,SD355709_45.9375N_103.0625W.wdb.xml_38011
10.0,SD355757_45.9375N_103.0625W.wdb.xml_38011
76.0,SD355776_45.9375N_103.0625W.wdb.xml_38011
14.0,SD355781_45.9375N_103.3125W.wdb.xml_46063
9.0,SD355773_45.9375N_103.6875W.wdb.xml_46063
2.0,SD355809_45.9375N_103.5625W.wdb.xml_46063
68.0,SD2837872_45.9375N_103.3125W.wdb.xml_46063
10.0,SD355731_45.9375N_103.9375W.wdb.xml_46063
342.0,SD2876635_45.9375N_103.0625W.wdb.xml_46063
1307.0,SD355776_45.9375N_103.0625W.wdb.xml_46063
3362.0,SD355725_45.9375N_103.0625W.wdb.xml_46063
4118.0,SD355709_45.9375N_103.0625W.wdb.xml_46063
341.0,SD355757_45.9375N_103.0625W.wdb.xml_46063
110.0,SD2739017_45.9375N_103.3125W.wdb.xml_46063
2.0,SD355772_45.9375N_103.0625W.wdb.xml_38011
88.0,SD355790_45.9375N_103.0625W.wdb.xml_46063
1622.0,SD355775_45.9375N_103.0625W.wdb.xml_46063
23.0,SD355787_45.9375N_103.1875W.wdb.xml_46063
8.0,SD355787_45.9375N_103.0625W.wdb.xml_46063
4.0,SD355805_45.9375N_103.6875W.wdb.xml_46063
4.0,SD2837872_45.9375N_103.0625W.wdb.xml_38011
923.0,SD355777_45.9375N_103.1875W.wdb.xml_46063
8.0,SD355742_45.9375N_102.9375W.wdb.xml_38001
14.0,SD355756_45.9375N_102.9375W.wdb.xml_38001
1.0,SD2876639_45.9375N_103.4375W.wdb.xml_46063
